Sıra,Sure,Ayet,Metin,Hoca
4397,43,72,vetilke-lcennetu-lletî ûriŝtumûhâ bimâ kuntum ta`melûn.,Abay Yazılışı
4398,43,73,lekum fîhâ fâkihetun keŝîratum minhâ te'kulûn.,Abay Yazılışı
4399,43,74,inne-lmucrimîne fî `aẕâbi cehenneme ḫâlidûn.,Abay Yazılışı
4400,43,75,lâ yufetteru `anhum vehum fîhi mublisûn.,Abay Yazılışı
4401,43,76,vemâ żalemnâhum velâkin kânû humu-żżâlimîn.,Abay Yazılışı
4402,43,77,venâdev yâ mâliku liyaḳḍi `aleynâ rabbuk. ḳâle innekum mâkiŝûn.,Abay Yazılışı
4403,43,78,leḳad ci'nâkum bilḥaḳḳi velâkinne ekŝerakum lilḥaḳḳi kârihûn.,Abay Yazılışı
4404,43,79,em ebramû emran feinnâ mubrimûn.,Abay Yazılışı
4405,43,80,em yaḥsebûne ennâ lâ nesme`u sirrahum venecvâhum. belâ verusulunâ ledeyhim yektubûn.,Abay Yazılışı
4406,43,81,ḳul in kâne lirraḥmâni veled. feenâ evvelu-l`âbidîn.,Abay Yazılışı
4407,43,82,subḥâne rabbi-ssemâvâti vel'arḍi rabbi-l`arşi `ammâ yeṣifûn.,Abay Yazılışı
4408,43,83,feẕerhum yeḫûḍû veyel`abû ḥattâ yulâḳû yevmehumu-lleẕî yû`adûn.,Abay Yazılışı
4409,43,84,vehuve-lleẕî fi-ssemâi ilâhuv vefi-l'arḍi ilâhun. vehuve-lḥakîmu-l`alîm.,Abay Yazılışı
4410,43,85,vetebârake-lleẕî lehû mulku-ssemâvâti vel'arḍi vemâ beynehumâ. ve`indehû `ilmu-ssâ`ah. veileyhi turce`ûn.,Abay Yazılışı
4411,43,86,velâ yemliku-lleẕîne yed`ûne min dûnihi-şşefâ`ate illâ men şehide bilḥaḳḳi vehum ya`lemûn.,Abay Yazılışı
4412,43,87,velein seeltehum men ḫaleḳahum leyeḳûlunne-llâhu feennâ yu'fekûn.,Abay Yazılışı
4413,43,88,veḳîlihî yâ rabbi inne hâulâi ḳavmul lâ yu'minûn.,Abay Yazılışı
4414,43,89,faṣfaḥ `anhum veḳul selâm. fesevfe ya`lemûn.,Abay Yazılışı
4415,44,1,ḥâ-mîm.,Abay Yazılışı
4416,44,2,velkitâbi-lmubîn.,Abay Yazılışı
4417,44,3,innâ enzelnâhu fî leyletim mubâraketin innâ kunnâ munẕirîn.,Abay Yazılışı
4418,44,4,fîhâ yufraḳu kullu emrin ḥakîm.,Abay Yazılışı
4419,44,5,emram min `indinâ. innâ kunnâ mursilîn.,Abay Yazılışı
4420,44,6,raḥmetem mir rabbik. innehû huve-ssemî`u-l`alîm.,Abay Yazılışı
4421,44,7,rabbi-ssemâvâti vel'arḍi vemâ beynehumâ. in kuntum mûḳinîn.,Abay Yazılışı
4422,44,8,lâ ilâhe illâ huve yuḥyî veyumît. rabbukum verabbu âbâikumu-l'evvelîn.,Abay Yazılışı
4423,44,9,bel hum fî şekkiy yel`abûn.,Abay Yazılışı
4424,44,10,ferteḳib yevme te'ti-ssemâu biduḫânim mubîn.,Abay Yazılışı
4425,44,11,yagşe-nnâs. hâẕâ `aẕâbun elîm.,Abay Yazılışı
4426,44,12,rabbene-kşif `anne-l`aẕâbe innâ mu'minûn.,Abay Yazılışı
4427,44,13,ennâ lehumu-ẕẕikrâ veḳad câehum rasûlum mubîn.,Abay Yazılışı
4428,44,14,ŝumme tevellev `anhu veḳâlû mu`allemum mecnûn.,Abay Yazılışı
4429,44,15,innâ kâşifu-l`aẕâbi ḳalîlen innekum `âidûn.,Abay Yazılışı
4430,44,16,yevme nebṭişu-lbaṭşete-lkubrâ. innâ munteḳimûn.,Abay Yazılışı
4431,44,17,veleḳad fetennâ ḳablehum ḳavme fir`avne vecâehum rasûlun kerîm.,Abay Yazılışı
4432,44,18,en eddû ileyye `ibâde-llâh. innî lekum rasûlun emîn.,Abay Yazılışı
4433,44,19,veel lâ ta`lû `ale-llâh. innî âtîkum bisulṭânim mubîn.,Abay Yazılışı
4434,44,20,veinnî `uẕtu birabbî verabbikum en tercumûn.,Abay Yazılışı
4435,44,21,veil lem tu'minû lî fa`tezilûn.,Abay Yazılışı
4436,44,22,fede`â rabbehû enne hâulâi ḳavmum mucrimûn.,Abay Yazılışı
4437,44,23,feesri bi`ibâdî leylen innekum muttebe`ûn.,Abay Yazılışı
4438,44,24,vetruki-lbaḥra rahvâ. innehum cundum mugraḳûn.,Abay Yazılışı
4439,44,25,kem terakû min cennâtiv ve`uyûn.,Abay Yazılışı
4440,44,26,vezurû`iv vemeḳâmin kerîm.,Abay Yazılışı
4441,44,27,vena`metin kânû fîhâ fâkihîn.,Abay Yazılışı
4442,44,28,keẕâlik. veevraŝnâhâ ḳavmen âḫarîn.,Abay Yazılışı
4443,44,29,femâ beket `aleyhimu-ssemâu vel'arḍu vemâ kânû munżarîn.,Abay Yazılışı
4444,44,30,veleḳad necceynâ benî isrâîle mine-l`aẕâbi-lmuhîn.,Abay Yazılışı
4445,44,31,min fir`avn. innehû kâne `âliyem mine-lmusrifîn.,Abay Yazılışı
4446,44,32,veleḳadi-ḫternâhum `alâ `ilmin `ale-l`âlemîn.,Abay Yazılışı
4447,44,33,veâteynâhum mine-l'âyâti mâ fîhi belâum mubîn.,Abay Yazılışı
4448,44,34,inne hâulâi leyeḳûlûn.,Abay Yazılışı
4449,44,35,in hiye illâ mevtetune-l'ûlâ vemâ naḥnu bimunşerîn.,Abay Yazılışı
4450,44,36,fe'tû biâbâinâ in kuntum ṣâdiḳîn.,Abay Yazılışı
4451,44,37,ehum ḫayrun em ḳavmu tubbe`iv velleẕîne min ḳablihim. ehleknâhum. innehum kânû mucrimîn.,Abay Yazılışı
4452,44,38,vemâ ḫalaḳne-ssemâvâti vel'arḍa vemâ beynehumâ lâ`ibîn.,Abay Yazılışı
4453,44,39,mâ ḫalaḳnâhumâ illâ bilḥaḳḳi velâkinne ekŝerahum lâ ya`lemûn.,Abay Yazılışı
4454,44,40,inne yevme-lfaṣli mîḳâtuhum ecme`în.,Abay Yazılışı
4455,44,41,yevme lâ yugnî mevlen `am mevlen şey'ev velâ hum yunṣarûn.,Abay Yazılışı
4456,44,42,illâ mer raḥime-llâh. innehû huve-l`azîzu-rraḥîm.,Abay Yazılışı
4457,44,43,inne şecerate-zzeḳḳûm.,Abay Yazılışı
4458,44,44,ṭa`âmu-l'eŝîm.,Abay Yazılışı
4459,44,45,kelmuhl. yaglî fi-lbuṭûn.,Abay Yazılışı
4460,44,46,kegalyi-lḥamîm.,Abay Yazılışı
4461,44,47,ḫuẕûhu fa`tilûhu ilâ sevâi-lceḥîm.,Abay Yazılışı
4462,44,48,ŝumme ṣubbû fevḳa ra'sihî min `aẕâbi-lḥamîm.,Abay Yazılışı
4463,44,49,ẕuḳ. inneke ente-l`azîzu-lkerîm.,Abay Yazılışı
4464,44,50,inne hâẕâ mâ kuntum bihî temterûn.,Abay Yazılışı
4465,44,51,inne-lmutteḳîne fî meḳâmin emîn.,Abay Yazılışı
4466,44,52,fî cennâtiv ve`uyûn.,Abay Yazılışı
4467,44,53,yelbesûne min sundusiv veistebraḳim muteḳâbilîn.,Abay Yazılışı
4468,44,54,keẕâlik. vezevvecnâhum biḥûrin `în.,Abay Yazılışı
4469,44,55,yed`ûne fîhâ bikulli fâkihetin âminîn.,Abay Yazılışı
4470,44,56,lâ yeẕûḳûne fîhe-lmevte ille-lmevtete-l'ûlâ. veveḳâhum `aẕâbe-lceḥîm.,Abay Yazılışı
4471,44,57,faḍlem mir rabbik. ẕâlike huve-lfevzu-l`ażîm.,Abay Yazılışı
4472,44,58,feinnemâ yessernâhu bilisânike le`allehum yeteẕekkerûn.,Abay Yazılışı
4473,44,59,ferteḳib innehum murteḳibûn.,Abay Yazılışı
4474,45,1,ḥâ-mîm.,Abay Yazılışı
4475,45,2,tenzîlu-lkitâbi mine-llâhi-l`azîzi-lḥakîm.,Abay Yazılışı
4476,45,3,inne fi-ssemâvâti vel'arḍi leâyâtil lilmu'minîn.,Abay Yazılışı
4477,45,4,vefî ḫalḳikum vemâ yebuŝŝu min dâbbetin âyâtul liḳavmiy yûḳinûn.,Abay Yazılışı
4478,45,5,vaḫtilâfi-lleyli vennehâri vemâ enzele-llâhu mine-ssemâi mir rizḳin feaḥyâ bihi-l'arḍa ba`de mevtihâ vetaṣrîfi-rriyâḥi âyâtul liḳavmiy ya`ḳilûn.,Abay Yazılışı
4479,45,6,tilke âyâtu-llâhi netlûhâ `aleyke bilḥaḳḳ. febieyyi ḥadîŝim ba`de-llâhi veâyâtihî yu'minûn.,Abay Yazılışı
4480,45,7,veylul likulli effâkin eŝîm.,Abay Yazılışı
4481,45,8,yesme`u âyâti-llâhi tutlâ `aleyhi ŝumme yuṣirru mustekbiran keel lem yesma`hâ. febeşşirhu bi`aẕâbin elîm.,Abay Yazılışı
4482,45,9,veiẕâ `alime min âyâtinâ şey'en-tteḫaẕehâ huzuvâ. ulâike lehum `aẕâbum muhîn.,Abay Yazılışı
4483,45,10,miv verâihim cehennem. velâ yugnî `anhum mâ kesebû şey'ev velâ me-tteḫaẕû min dûni-llâhi evliyâ'. velehum `aẕâbun `ażîm.,Abay Yazılışı
4484,45,11,hâẕâ hudâ. velleẕîne keferû biâyâti rabbihim lehum `aẕâbum mir riczin elîm.,Abay Yazılışı
4485,45,12,allâhu-lleẕî seḫḫara lekumu-lbaḥra litecriye-lfulku fîhi biemrihî velitebtegû min faḍlihî vele`allekum teşkurûn.,Abay Yazılışı
4486,45,13,veseḫḫara lekum mâ fi-ssemâvâti vemâ fi-l'arḍi cemî`am minh. inne fî ẕâlike leâyâtil liḳavmiy yetefekkerûn.,Abay Yazılışı
4487,45,14,ḳul lilleẕîne âmenû yagfirû lilleẕîne lâ yercûne eyyâme-llâhi liyecziye ḳavmem bimâ kânû yeksibûn.,Abay Yazılışı
4488,45,15,men `amile ṣâliḥan felinefsih. vemen esâe fe`aleyhâ. ŝumme ilâ rabbikum turce`ûn.,Abay Yazılışı
4489,45,16,veleḳad âteynâ benî isrâîle-lkitâbe velḥukme vennubuvvete verazaḳnâhum mine-ṭṭayyibâti vefeḍḍalnâhum `ale-l`âlemîn.,Abay Yazılışı
4490,45,17,veâteynâhum beyyinâtim mine-l'emr. feme-ḫtelefû illâ mim ba`di mâ câehumu-l`ilmu bagyem beynehum. inne rabbeke yaḳḍî beynehum yevme-lḳiyâmeti fîmâ kânû fîhi yaḫtelifûn.,Abay Yazılışı
4491,45,18,ŝumme ce`alnâke `alâ şerî`atim mine-l'emri fettebi`hâ velâ tettebi` ehvâe-lleẕîne lâ ya`lemûn.,Abay Yazılışı
4492,45,19,innehum ley yugnû `anke mine-llâhi şey'â. veinne-żżâlimîne ba`ḍuhum evliyâu ba`ḍ. vellâhu veliyyu-lmutteḳîn.,Abay Yazılışı
4493,45,20,hâẕâ beṣâiru linnâsi vehudev veraḥmetul liḳavmiy yûḳinûn.,Abay Yazılışı
4494,45,21,em ḥasibe-lleẕîne-cteraḥu-sseyyiâti en nec`alehum kelleẕîne âmenû ve`amilu-ṣṣâliḥâti sevâem maḥyâhum vememâtuhum. sâe mâ yaḥkumûn.,Abay Yazılışı
4495,45,22,veḫaleḳa-llâhu-ssemâvâti vel'arḍa bilḥaḳḳi velituczâ kullu nefsim bimâ kesebet vehum lâ yużlemûn.,Abay Yazılışı
4496,45,23,eferaeyte meni-tteḫaẕe ilâhehû hevâhu veeḍallehu-llâhu `alâ `ilmiv veḫateme `alâ sem`ihî veḳalbihî vece`ale `alâ beṣarihî gişâveh. femey yehdîhi mim ba`di-llâh. efelâ teẕekkerûn.,Abay Yazılışı
4497,45,24,veḳâlû mâ hiye illâ ḥayâtune-ddunyâ nemûtu venaḥyâ vemâ yuhlikunâ ille-ddehr. vemâ lehum biẕâlike min `ilmin. in hum illâ yeżunnûn.,Abay Yazılışı
4498,45,25,veiẕâ tutlâ `aleyhim âyâtunâ beyyinâtim mâ kâne ḥuccetehum illâ en ḳâlu-'tû biâbâinâ in kuntum ṣâdiḳîn.,Abay Yazılışı
4499,45,26,ḳuli-llâhu yuḥyîkum ŝumme yumîtukum ŝumme yecme`ukum ilâ yevmi-lḳiyâmeti lâ raybe fîhi velâkinne ekŝera-nnâsi lâ ya`lemûn.,Abay Yazılışı
4500,45,27,velillâhi mulku-ssemâvâti vel'arḍ. veyevme teḳûmu-ssâ`atu yevmeiẕiy yaḫseru-lmubṭilûn.,Abay Yazılışı
4501,45,28,veterâ kulle ummetin câŝiyeh. kullu ummetin tud`â ilâ kitâbihâ. elyevme tuczevne mâ kuntum ta`melûn.,Abay Yazılışı
4502,45,29,hâẕâ kitâbunâ yenṭiḳu `aleykum bilḥaḳḳ. innâ kunnâ nestensiḫu mâ kuntum ta`melûn.,Abay Yazılışı
4503,45,30,feemme-lleẕîne âmenû ve`amilu-ṣṣâliḥâti feyudḫiluhum rabbuhum fî raḥmetih. ẕâlike huve-lfevzu-lmubîn.,Abay Yazılışı
4504,45,31,veemme-lleẕîne keferû. efelem tekun âyâtî tutlâ `aleykum festekbertum vekuntum ḳavmem mucrimîn.,Abay Yazılışı
4505,45,32,veiẕâ ḳîle inne va`de-llâhi ḥaḳḳuv vessâ`atu lâ raybe fîhâ ḳultum mâ nedrî me-ssâ`atu in neżunnu illâ żannâ vemâ naḥnu bimusteyḳinîn.,Abay Yazılışı
4506,45,33,vebedâ lehum seyyietu mâ `amilû veḥâḳa bihim mâ kânû bihî yestehziûn.,Abay Yazılışı
4507,45,34,veḳîle-lyevme nensâkum kemâ nesîtum liḳâe yevmikum hâẕâ veme'vâkum-nnâru vemâ lekum min nâṣirîn.,Abay Yazılışı
4508,45,35,ẕâlikum biennekumu-tteḫaẕtum âyâti-llâhi huzuvev vegarratkumu-lḥayâtu-ddunyâ. felyevme lâ yuḫracûne minhâ velâ hum yusta`tebûn.,Abay Yazılışı
4509,45,36,felillâhi-lḥamdu rabbi-ssemâvâti verabbi-l'arḍi rabbi-l`âlemîn.,Abay Yazılışı
4510,45,37,velehu-lkibriyâu fi-ssemâvâti vel'arḍ. vehuve-l`azîzu-lḥakîm.,Abay Yazılışı
4511,46,1,ḥâ-mîm.,Abay Yazılışı
4512,46,2,tenzîlu-lkitâbi mine-llâhi-l`azîzi-lḥakîm.,Abay Yazılışı
4513,46,3,mâ ḫalaḳne-ssemâvâti vel'arḍa vemâ beynehumâ illâ bilḥaḳḳi veecelim musemmâ. velleẕîne keferû `ammâ unẕirû mu`riḍûn.,Abay Yazılışı
4514,46,4,ḳul era'eytum mâ ted`ûne min dûni-llâhi erûnî mâẕâ ḫaleḳû mine-l'arḍi em lehum şirkun fi-ssemâvât. îtûnî bikitâbim min ḳabli hâẕâ ev eŝâratim min `ilmin in kuntum ṣâdiḳîn.,Abay Yazılışı
4515,46,5,vemen eḍallu mimmey yed`û min dûni-llâhi mel lâ yestecîbu lehû ilâ yevmi-lḳiyâmeti vehum `an du`âihim gâfilûn.,Abay Yazılışı
4516,46,6,veiẕâ ḥuşira-nnâsu kânû lehum a`dâev vekânû bi`ibâdetihim kâfirîn.,Abay Yazılışı
4517,46,7,veiẕâ tutlâ `aleyhim âyâtunâ beyyinâtin ḳâle-lleẕîne keferû lilḥaḳḳi lemmâ câehum hâẕâ siḥrum mubîn.,Abay Yazılışı
4518,46,8,em yeḳûlûne-fterâh. ḳul ini-fteraytuhû felâ temlikûne lî mine-llâhi şey'â. huve a`lemu bimâ tufîḍûne fîh. kefâ bihî şehîdem beynî vebeynekum. vehuve-lgafûru-rraḥîm.,Abay Yazılışı
4519,46,9,ḳul mâ kuntu bid`am mine-rrusuli vemâ edrî mâ yuf`alu bî velâ bikum. in ettebi`u illâ mâ yûḥâ ileyye vemâ ene illâ neẕîrum mubîn.,Abay Yazılışı
4520,46,10,ḳul era'eytum in kâne min `indi-llâhi vekefertum bihî veşehide şâhidum mim benî isrâîle `alâ miŝlihî feâmene vestekbertum. inne-llâhe lâ yehdi-lḳavme-żżâlimîn.,Abay Yazılışı
4521,46,11,veḳâle-lleẕîne keferû lilleẕîne âmenû lev kâne ḫayram mâ sebeḳûnâ ileyh. veiẕ lem yehtedû bihî feseyeḳûlûne hâẕâ ifkun ḳadîm.,Abay Yazılışı
4522,46,12,vemin ḳablihî kitâbu mûsâ imâmev veraḥmeh. vehâẕâ kitâbum muṣaddiḳul lisânen `arabiyyel liyunẕira-lleẕîne żalemû. vebuşrâ lilmuḥsinîn.,Abay Yazılışı
4523,46,13,inne-lleẕîne ḳâlû rabbune-llâhu ŝumme-steḳâmû felâ ḫavfun `aleyhim velâ hum yaḥzenûn.,Abay Yazılışı
4524,46,14,ulâike aṣḥâbu-lcenneti ḫâlidîne fîhâ. cezâem bimâ kânû ya`melûn.,Abay Yazılışı
4525,46,15,veveṣṣayne-l'insâne bivâlideyhi iḥsânâ. ḥamelethu ummuhû kurhev veveḍa`athu kurhâ. veḥamluhû vefiṣâluhû ŝelâŝûne şehrâ. ḥattâ iẕâ belega eşuddehû vebelega erbe`îne seneten ḳâle rabbi evzi`nî en eşkura ni`meteke-lletî en`amte `aleyye ve`alâ vâlideyye veen a`mele ṣâliḥan tarḍâhu veaṣliḥ lî fî ẕurriyyetî. innî tubtu ileyke veinnî mine-lmuslimîn.,Abay Yazılışı
4526,46,16,ulâike-lleẕîne neteḳabbelu `anhum aḥsene mâ `amilû venetecâvezu `an seyyiâtihim fî aṣḥâbi-lcenneh. va`de-ṣṣidḳi-lleẕî kânû yû`adûn.,Abay Yazılışı
4527,46,17,velleẕî ḳâle livâlideyhi uffil lekumâ eta`idâninî en uḫrace veḳad ḫaleti-lḳurûnu min ḳablî vehumâ yestegîŝâni-llâhe veyleke âmin. inne va`de-llâhi ḥaḳḳun. feyeḳûlu mâ hâẕâ illâ esâṭîru-l'evvelîn.,Abay Yazılışı
4528,46,18,ulâike-lleẕîne ḥaḳḳa `aleyhimu-lḳavlu fî umemin ḳad ḫalet min ḳablihim mine-lcinni vel'ins. innehum kânû ḫâsirîn.,Abay Yazılışı
4529,46,19,velikullin deracâtum mimmâ `amilû. veliyuveffiyehum a`mâlehum vehum lâ yużlemûn.,Abay Yazılışı
4530,46,20,veyevme yu`raḍu-lleẕîne keferû `ale-nnâr. eẕhebtum ṭayyibâtikum fî ḥayâtikumu-ddunyâ vestemta`tum bihâ. felyevme tuczevne `aẕâbe-lhûni bimâ kuntum testekbirûne fi-l'arḍi bigayri-lḥaḳḳi vebimâ kuntum tefsuḳûn.,Abay Yazılışı
4531,46,21,veẕkur eḫâ `âdin. iẕ enẕera ḳavmehû bil'aḥḳâfi veḳad ḫaleti-nnuẕuru mim beyni yedeyhi vemin ḫalfihî ellâ ta`budû ille-llâh. innî eḫâfu `aleykum `aẕâbe yevmin `ażîm.,Abay Yazılışı
4532,46,22,ḳâlû eci'tenâ lite'fikenâ `an âlihetinâ. fe'tinâ bimâ te`idunâ in kunte mine-ṣṣâdiḳîn.,Abay Yazılışı
4533,46,23,ḳâle inneme-l`ilmu `inde-llâh. veubelligukum mâ ursiltu bihî velâkinnî erâkum ḳavmen techelûn.,Abay Yazılışı
4534,46,24,felemmâ raevhu `âriḍam mustaḳbile evdiyetihim ḳâlû hâẕâ `âriḍum mumṭirunâ. bel huve me-sta`celtum bih. rîḥun fîhâ `aẕâbun elîm.,Abay Yazılışı
4535,46,25,tudemmiru kulle şey'im biemri rabbihâ feaṣbeḥû lâ yurâ illâ mesâkinuhum. keẕâlike neczi-lḳavme-lmucrimîn.,Abay Yazılışı
4536,46,26,veleḳad mekkennâhum fîmâ im mekkennâkum fîhi vece`alnâ lehum sem`av veebṣârav veef'ideh. femâ agnâ `anhum sem`uhum velâ ebṣâruhum velâ ef'idetuhum min şey'in iẕ kânû yecḥadûne biâyâti-llâhi veḥâḳa bihim mâ kânû bihî yestehziûn.,Abay Yazılışı
4537,46,27,veleḳad ehleknâ mâ ḥavlekum mine-lḳurâ veṣarrafne-l'âyâti le`allehum yerci`ûn.,Abay Yazılışı
4538,46,28,felevlâ neṣarahumu-lleẕîne-tteḫaẕû min dûni-llâhi ḳurbânen âliheh. bel ḍallû `anhum. veẕâlike ifkuhum vemâ kânû yefterûn.,Abay Yazılışı
4539,46,29,veiẕ ṣarafnâ ileyke neferam mine-lcinni yestemi`ûne-lḳur'ân. felemmâ ḥaḍarûhu ḳâlû enṣitû. felemmâ ḳuḍiye vellev ilâ ḳavmihim munẕirîn.,Abay Yazılışı
4540,46,30,ḳâlû yâ ḳavmenâ innâ semi`nâ kitâben unzile mim ba`di mûsâ muṣaddiḳal limâ beyne yedeyhi yehdî ile-lḥaḳḳi veilâ ṭarîḳim musteḳîm.,Abay Yazılışı
4541,46,31,yâ ḳavmenâ ecîbû dâ`iye-llâhi veâminû bihî yagfir lekum min ẕunûbikum veyucirkum min `aẕâbin elîm.,Abay Yazılışı
4542,46,32,vemel lâ yucib dâ`iye-llâhi feleyse bimu`cizin fi-l'arḍi veleyse lehû min dûnihî evliyâ'. ulâike fî ḍalâlim mubîn.,Abay Yazılışı
4543,46,33,evelem yerav enne-llâhe-lleẕî ḫaleḳa-ssemâvâti vel'arḍa velem ya`ye biḫalḳihinne biḳâdirin `alâ ey yuḥyiye-lmevtâ. belâ innehû `alâ kulli şey'in ḳadîr.,Abay Yazılışı
4544,46,34,veyevme yu`raḍu-lleẕîne keferû `ale-nnâr. eleyse hâẕâ bilḥaḳḳ. ḳâlû belâ verabbinâ. ḳâle feẕûḳu-l`aẕâbe bimâ kuntum tekfurûn.,Abay Yazılışı
4545,46,35,faṣbir kemâ ṣabera ulu-l`azmi mine-rrusuli velâ testa`cil lehum. keennehum yevme yeravne mâ yû`adûne lem yelbeŝû illâ sâ`atem min nehâr. belâg. fehel yuhleku ille-lḳavmu-lfâsiḳûn.,Abay Yazılışı
4546,47,1,elleẕîne keferû veṣaddû `an sebîli-llâhi eḍalle a`mâlehum.,Abay Yazılışı
4547,47,2,velleẕîne âmenû ve`amilu-ṣṣâliḥâti veâmenû bimâ nuzzile `alâ muḥammediv vehuve-lḥaḳḳu mir rabbihim keffera `anhum seyyiâtihim veaṣleḥa bâlehum.,Abay Yazılışı
4548,47,3,ẕâlike bienne-lleẕîne keferu-ttebe`u-lbâṭile veenne-lleẕîne âmenu-ttebe`u-lḥaḳḳa mir rabbihim. keẕâlike yaḍribu-llâhu linnâsi emŝâlehum.,Abay Yazılışı
4549,47,4,feiẕâ leḳîtumu-lleẕîne keferû feḍarbe-rriḳâb. ḥattâ iẕâ eŝḫantumûhum feşuddu-lveŝâḳa feimmâ mennem ba`du veimmâ fidâen ḥattâ teḍa`a-lḥarbu evzârahâ. ẕâlik. velev yeşâu-llâhu lenteṣara minhum velâkil liyebluve ba`ḍakum biba`ḍ. velleẕîne ḳutilû fî sebîli-llâhi feley yuḍille a`mâlehum.,Abay Yazılışı
4550,47,5,seyehdîhim veyuṣliḥu bâlehum.,Abay Yazılışı
4551,47,6,veyudḫiluhumu-lcennete `arrafehâ lehum.,Abay Yazılışı
4552,47,7,yâ eyyuhe-lleẕîne âmenû in tenṣuru-llâhe yenṣurkum veyuŝebbit aḳdâmekum.,Abay Yazılışı
4553,47,8,velleẕîne keferû feta`sel lehum veeḍalle a`mâlehum.,Abay Yazılışı
4554,47,9,ẕâlike biennehum kerihû mâ enzele-llâhu feaḥbeṭa a`mâlehum.,Abay Yazılışı
4555,47,10,efelem yesîrû fi-l'arḍi feyenżurû keyfe kâne `âḳibetu-lleẕîne min ḳablihim. demmera-llâhu `aleyhim. velilkâfirîne emŝâluhâ.,Abay Yazılışı
4556,47,11,ẕâlike bienne-llâhe mevle-lleẕîne âmenû veenne-lkâfirîne lâ mevlâ lehum.,Abay Yazılışı
4557,47,12,inne-llâhe yudḫilu-lleẕîne âmenû ve`amilu-ṣṣâliḥâti cennâtin tecrî min taḥtihe-l'enhâr. velleẕîne keferû yetemette`ûne veye'kulûne kemâ te'kulu-l'en`âmu vennâru meŝvel lehum.,Abay Yazılışı
4558,47,13,vekeeyyim min ḳaryetin hiye eşeddu ḳuvvetem min ḳaryetike-lletî aḫracetk. ehleknâhum felâ nâṣira lehum.,Abay Yazılışı
4559,47,14,efemen kâne `alâ beyyinetim mir rabbihî kemen zuyyine lehû sûu `amelihî vettebe`û ehvâehum.,Abay Yazılışı
4560,47,15,meŝelu-lcenneti-lletî vu`ide-lmutteḳûn. fîhâ enhârum mim mâin gayri âsin. veenhârum mil lebenil lem yetegayyer ṭa`muh. veenhârum min ḫamril leẕẕetil lişşâribîn. veenhârum min `aselim muṣaffâ. velehum fîhâ min kulli-ŝŝemerâti vemagfiratum mir rabbihim. kemen huve ḫâlidun fi-nnâri vesuḳû mâen ḥamîmen feḳaṭṭa`a em`âehum.,Abay Yazılışı
4561,47,16,veminhum mey yestemi`u ileyk. ḥattâ iẕâ ḫaracû min `indike ḳâlû lilleẕîne ûtu-l`ilme mâẕâ ḳâle ânifâ. ulâike-lleẕîne ṭabe`a-llâhu `alâ ḳulûbihim vettebe`û ehvâehum.,Abay Yazılışı
4562,47,17,velleẕîne-htedev zâdehum hudev veâtâhum taḳvâhum.,Abay Yazılışı
4563,47,18,fehel yenżurûne ille-ssâ`ate en te'tiyehum bagteten. feḳad câe eşrâṭuhâ. feennâ lehum iẕâ câethum ẕikrâhum.,Abay Yazılışı
4564,47,19,fa`lem ennehû lâ ilâhe ille-llâhu vestagfir liẕembike velilmu'minîne velmu'minât. vellâhu ya`lemu muteḳallebekum vemeŝvâkum.,Abay Yazılışı
4565,47,20,veyeḳûlu-lleẕîne âmenû levlâ nuzzilet sûratun. feiẕâ unzilet sûratum muḥkemetuv veẕukira fîhe-lḳitâlu raeyte-lleẕîne fî ḳulûbihim meraḍuy yenżurûne ileyke neżara-lmagşiyyi `aleyhi mine-lmevt. feevlâ lehum.,Abay Yazılışı
4566,47,21,ṭâ`atuv veḳavlum ma`rûfun. feiẕâ `azeme-l'emr. felev ṣadeḳu-llâhe lekâne ḫayral lehum.,Abay Yazılışı
4567,47,22,fehel `aseytum in tevelleytum en tufsidû fi-l'arḍi vetuḳaṭṭi`û erḥâmekum.,Abay Yazılışı
4568,47,23,ulâike-lleẕîne le`anehumu-llâhu feeṣammehum vea`mâ ebṣârahum.,Abay Yazılışı
4569,47,24,efelâ yetedebberûne-lḳur'âne em `alâ ḳulûbin aḳfâluhâ.,Abay Yazılışı
4570,47,25,inne-lleẕîne-rteddû `alâ edbârihim mim ba`di mâ tebeyyene lehumu-lhude-şşeyṭânu sevvele lehum. veemlâ lehum.,Abay Yazılışı
4571,47,26,ẕâlike biennehum ḳâlû lilleẕîne kerihû mâ nezzele-llâhu senuṭî`ukum fî ba`ḍi-l'emr. vellâhu ya`lemu isrârahum.,Abay Yazılışı
4572,47,27,fekeyfe iẕâ teveffethumu-lmelâiketu yaḍribûne vucûhehum veedbârahum.,Abay Yazılışı
4573,47,28,ẕâlike biennehumu-ttebe`û mâ esḫaṭa-llâhe vekerihû riḍvânehû feaḥbeṭa a`mâlehum.,Abay Yazılışı
4574,47,29,em ḥasibe-lleẕîne fî ḳulûbihim meraḍun el ley yuḫrice-llâhu aḍgânehum.,Abay Yazılışı
4575,47,30,velev neşâu leeraynâkehum fele`araftehum bisîmâhum. veleta`rifennehum fî laḥni-lḳavl. vellâhu ya`lemu a`mâlekum.,Abay Yazılışı
4576,47,31,velenebluvennekum ḥattâ na`leme-lmucâhidîne minkum veṣṣâbirîne venebluve aḫbârakum.,Abay Yazılışı
