sira,sure,ayet,metin,hoca,arapca
4212,40,79,"Bir kısmına binesiniz, bir kısmının (etinden) yiyesiniz diye sizin için hayvanları yaratan Allah'tır.",Mehmet Okuyan,اَللّٰهُ الَّذ۪ي جَعَلَ لَكُمُ الْاَنْعَامَ لِتَرْكَبُوا مِنْهَا وَمِنْهَا تَأْكُلُونَۘ
4213,40,80,"Onlarda, sizin için daha nice yararlar vardır. Göğüslerinizdeki (kalplerinizdeki) arzuya onlar(ın) üzerinde ulaşırsınız.[1] Onların ve gemilerin üzerinde taşınırsınız.",Mehmet Okuyan,وَلَكُمْ ف۪يهَا مَنَافِـعُ وَلِتَبْلُغُوا عَلَيْهَا حَاجَةً ف۪ي صُدُورِكُمْ وَعَلَيْهَا وَعَلَى الْفُلْكِ تُحْمَلُونَۜ
4214,40,81,(Allah) size delillerini gösteriyor. Allah'ın ayetlerinden hangisini inkâr edebilirsiniz ki!,Mehmet Okuyan,وَيُر۪يكُمْ اٰيَاتِه۪ۗ فَاَيَّ اٰيَاتِ اللّٰهِ تُنْكِرُونَ
4215,40,82,"Kendilerinden öncekilerin sonunun nasıl olduğunu görmek üzere yeryüzünde hiç mi dolaşmadılar?[1] Öncekiler bunlardan daha çoktu, kuvvetçe ve yeryüzündeki eserleri bakımından da daha sağlamdılar.[2] (Fakat) kazandıkları şeyler, onlara asla yarar sağlamamıştır.",Mehmet Okuyan,اَفَلَمْ يَس۪يرُوا فِي الْاَرْضِ فَيَنْظُرُوا كَيْفَ كَانَ عَاقِبَةُ الَّذ۪ينَ مِنْ قَبْلِهِمْۜ كَانُٓوا اَكْثَرَ مِنْهُمْ وَاَشَدَّ قُوَّةً وَاٰثَاراً فِي الْاَرْضِ فَمَٓا اَغْنٰى عَنْهُمْ مَا كَانُوا يَكْسِبُونَ
4216,40,83,"Elçileri onlara apaçık bilgiler getirince, onlar kendilerinde bulunan (eksik) bilgiye güvenmişlerdi. (Buna karşılık) alay ettikleri şey kendilerini kuşatacaktır.[1]",Mehmet Okuyan,فَلَمَّا جَٓاءَتْهُمْ رُسُلُهُمْ بِالْبَيِّنَاتِ فَرِحُوا بِمَا عِنْدَهُمْ مِنَ الْعِلْمِ وَحَاقَ بِهِمْ مَا كَانُوا بِه۪ يَسْتَهْزِؤُ۫نَ
4217,40,84,"Ağır azabımızı gördükleri zaman ""Tek olan Allah'a inandık ve O'na ortak koştuğumuz şeyleri inkâr ettik."" derler.",Mehmet Okuyan,فَلَمَّا رَاَوْا بَأْسَنَا قَالُٓوا اٰمَنَّا بِاللّٰهِ وَحْدَهُ وَكَفَرْنَا بِمَا كُنَّا بِه۪ مُشْرِك۪ينَ
4218,40,85,"Allah'ın kulları hakkında süregelen kanunu olarak[1] azabımızı gördükleri zaman (o anki) imanları, kendilerine yarar sağlamamıştır.[2] Kâfirler, orada kaybetmiş (olacak)lardır.",Mehmet Okuyan,فَلَمْ يَكُ يَنْفَعُهُمْ ا۪يمَانُهُمْ لَمَّا رَاَوْا بَأْسَنَاۜ سُنَّتَ اللّٰهِ الَّت۪ي قَدْ خَلَتْ ف۪ي عِبَادِه۪ۚ وَخَسِرَ هُنَالِكَ الْكَافِرُونَ
4219,41,1,Hâ. Mîm.[1],Mehmet Okuyan,حٰمٓۜ
4220,41,2,(Bu kitabın) indirilişi Rahmân (ve) Rahîm (olan Allah) tarafındandır.,Mehmet Okuyan,تَنْز۪يلٌ مِنَ الرَّحْمٰنِ الرَّح۪يمِۚ
4221,41,3,"(3, 4) (Bu), ayetleri Arapça bir Kur'an olarak açıklanmış,[1] bilen bir toplum için müjdeleyici ve uyarıcı olarak (indirilmiş) bir kitaptır. Fakat onların çoğu yüz çevirdi; artık dinlemezler.",Mehmet Okuyan,كِتَابٌ فُصِّلَتْ اٰيَاتُهُ قُرْاٰناً عَرَبِياًّ لِقَوْمٍ يَعْلَمُونَۙ
4222,41,4,"(3, 4) (Bu), ayetleri Arapça bir Kur'an olarak açıklanmış,[1] bilen bir toplum için müjdeleyici ve uyarıcı olarak (indirilmiş) bir kitaptır. Fakat onların çoğu yüz çevirdi; artık dinlemezler.",Mehmet Okuyan,بَش۪يراً وَنَذ۪يراًۚ فَاَعْرَضَ اَكْثَرُهُمْ فَهُمْ لَا يَسْمَعُونَ
4223,41,5,"(İnkârcılar) şöyle demişlerdi: ""Bizi çağırdığın şeye karşı kalplerimiz kapalıdır. Kulaklarımızda da bir (s)ağırlık vardır.[1] Bizimle senin aranda bir perde bulunmaktadır. (Sen istediğini) yap; biz de yapanlarız!""",Mehmet Okuyan,وَقَالُوا قُلُوبُنَا ف۪ٓي اَكِنَّةٍ مِمَّا تَدْعُونَٓا اِلَيْهِ وَف۪ٓي اٰذَانِنَا وَقْرٌ وَمِنْ بَيْنِنَا وَبَيْنِكَ حِجَابٌ فَاعْمَلْ اِنَّـنَا عَامِلُونَ
4224,41,6,"De ki: ""Ben yalnızca sizin gibi bir insanım. Bana ‘ilahınızın tek bir ilah olduğu' vahyolunuyor.[1] Artık O'na yönelin; O'ndan bağışlanma dileyin! Ortak koşanların vay hâline!""",Mehmet Okuyan,قُلْ اِنَّـمَٓا اَنَا۬ بَشَرٌ مِثْلُكُمْ يُوحٰٓى اِلَيَّ اَنَّـمَٓا اِلٰهُـكُمْ اِلٰهٌ وَاحِدٌ فَاسْتَق۪يمُٓوا اِلَيْهِ وَاسْتَغْفِرُوهُۜ وَوَيْلٌ لِلْمُشْرِك۪ينَۙ
4225,41,7,Onlar zekâtı vermezler; ahireti inkâr edenler de işte onlardır.,Mehmet Okuyan,اَلَّذ۪ينَ لَا يُؤْتُونَ الزَّكٰوةَ وَهُمْ بِالْاٰخِرَةِ هُمْ كَافِرُونَ
4226,41,8,Şüphesiz ki iman edip iyi işler yapanlar için başa kakılmayan (kesintisiz) bir ödül vardır.[1],Mehmet Okuyan,اِنَّ الَّذ۪ينَ اٰمَنُوا وَعَمِلُوا الصَّالِحَاتِ لَهُمْ اَجْرٌ غَيْرُ مَمْنُونٍ۟
4227,41,9,"De ki: ""Siz yeri iki günde (dönemde) yaratanı inkâr edip O'na ortaklar mı koşuyorsunuz! O, âlemlerin Rabbidir.""",Mehmet Okuyan,قُلْ اَئِنَّكُمْ لَتَكْفُرُونَ بِالَّذ۪ي خَلَقَ الْاَرْضَ ف۪ي يَوْمَيْنِ وَتَجْعَلُونَ لَـهُٓ اَنْدَاداًۜ ذٰلِكَ رَبُّ الْعَالَم۪ينَۚ
4228,41,10,"O, yere üzerinden ağır baskılar yerleştirmiştir.[1] Orada bereketler yaratmış ve orada tam dört günde (dönemde) isteyenler için eşit gıdalar belirlemiştir.",Mehmet Okuyan,وَجَعَلَ ف۪يهَا رَوَاسِيَ مِنْ فَوْقِهَا وَبَارَكَ ف۪يهَا وَقَدَّرَ ف۪يهَٓا اَقْوَاتَهَا ف۪ٓي اَرْبَعَةِ اَيَّامٍۜ سَوَٓاءً لِلسَّٓائِل۪ينَ
4229,41,11,"Sonra duman hâlinde olan göğe yönelmişti.[1] Ona (göğe) ve yere ""İsteyerek veya istemeyerek gelin!"" deyince onlar da ""İsteyerek geldik!""[2] cevabını vermişlerdi.",Mehmet Okuyan,ثُمَّ اسْتَوٰٓى اِلَى السَّمَٓاءِ وَهِيَ دُخَانٌ فَقَالَ لَهَا وَلِلْاَرْضِ ائْتِيَا طَوْعاً اَوْ كَرْهاًۜ قَالَـتَٓا اَتَيْنَا طَٓائِع۪ينَ
4230,41,12,"Böylece onları (gökleri) iki günde (dönemde) yedi gök[1] olarak yaratmış ve her göğe görevini vahyetmişti (bildirmişti).[2] Biz yakın göğü kandillerle ve koruma ile (koruyucu güçlerle) süslemiştik.[3]İşte bu güçlü, bilen (Allah)'ın ölçüsüdür.",Mehmet Okuyan,فَقَضٰيهُنَّ سَبْعَ سَمٰوَاتٍ ف۪ي يَوْمَيْنِ وَاَوْحٰى ف۪ي كُلِّ سَمَٓاءٍ اَمْرَهَاۜ وَزَيَّنَّا السَّمَٓاءَ الدُّنْيَا بِمَصَاب۪يحَۗ وَحِفْظاًۜ ذٰلِكَ تَقْد۪يرُ الْعَز۪يزِ الْعَل۪يمِ
4231,41,13,"Yüz çevirirlerse de ki: ""Sizi Âd ve Semûd'un (başına gelen) yıldırım gibi bir yıldırıma (afete) karşı uyarıyorum!""",Mehmet Okuyan,فَاِنْ اَعْرَضُوا فَقُلْ اَنْذَرْتُكُمْ صَاعِقَةً مِثْلَ صَاعِقَةِ عَادٍ وَثَمُودَۜ
4232,41,14,"Hani elçiler onlara önlerinden ve arkalarından gelerek ""Allah'tan başkasına kulluk etmeyin!"" dedikleri zaman, (onlar) ""Rabbimiz (peygamber göndermek) isteseydi elbette melekleri gönderirdi.[1] Onun için biz sizinle gönderilen şeyleri inkâr ediyoruz!"" demişlerdi.[2]",Mehmet Okuyan,اِذْ جَٓاءَتْهُمُ الرُّسُلُ مِنْ بَيْنِ اَيْد۪يهِمْ وَمِنْ خَلْفِهِمْ اَلَّا تَعْبُدُٓوا اِلَّا اللّٰهَۜ   قَالُوا لَوْ شَٓاءَ رَبُّنَا لَاَنْزَلَ مَلٰٓئِكَةً فَاِنَّا بِمَٓا اُرْسِلْتُمْ بِه۪ كَافِرُونَ
4233,41,15,"Âd kavmine gelince, yeryüzünde haksız yere kibirlenmiş ve ""Bizden daha kuvvetli kim var!"" demişlerdi. Onlar, kendilerini yaratan Allah'ın, onlardan çok daha kuvvetli olduğunu görmediler mi? Onlar, ayetlerimizi inkâr ediyorlardı.[1]",Mehmet Okuyan,فَاَمَّا عَادٌ فَاسْتَكْبَرُوا فِي الْاَرْضِ بِغَيْرِ الْحَقِّ وَقَالُوا مَنْ اَشَدُّ مِنَّا قُوَّةًۜ  اَوَلَمْ يَرَوْا اَنَّ اللّٰهَ الَّذ۪ي خَلَقَهُمْ هُوَ اَشَدُّ مِنْهُمْ قُوَّةًۜ وَكَانُوا بِاٰيَاتِنَا يَجْحَدُونَ
4234,41,16,(Bu nedenle) biz de onlara dünya hayatında alçaklık azabını tattıralım diye o kara günlerde soğuk bir rüzgâr göndermiştik.[1] Ahiret azabı elbette daha çok rezil edicidir. Onlara yardım da edilmez.,Mehmet Okuyan,فَاَرْسَلْنَا عَلَيْهِمْ ر۪يحاً صَرْصَراً ف۪ٓي اَيَّامٍ نَحِسَاتٍ لِنُذ۪يقَهُمْ عَذَابَ الْخِزْيِ فِي الْحَيٰوةِ الدُّنْيَاۜ وَلَعَذَابُ الْاٰخِرَةِ اَخْزٰى وَهُمْ لَا يُنْصَرُونَ
4235,41,17,"Semûd'a gelince, onlara doğru yolu göstermiştik ama onlar körlüğü doğru yola tercih etmişlerdi.[1] Böylece yapmakta oldukları kötülükler yüzünden küçük düşürücü azabın yıldırımı onları yakalayıp çarpmıştı.",Mehmet Okuyan,وَاَمَّا ثَمُودُ فَهَدَيْنَاهُمْ فَاسْتَحَبُّوا الْعَمٰى عَلَى الْهُدٰى فَاَخَذَتْهُمْ صَاعِقَةُ الْعَذَابِ الْهُونِ بِمَا كَانُوا يَكْسِبُونَۚ
4236,41,18,İman edip takvâlı (duyarlı) davranmış olanları ise kurtarmıştık.[1],Mehmet Okuyan,وَنَجَّيْنَا الَّذ۪ينَ اٰمَنُوا وَكَانُوا يَتَّقُونَ۟
4237,41,19,"O gün Allah'ın düşmanları, ateşe sürülmek üzere bir araya getirileceklerdir.",Mehmet Okuyan,وَيَوْمَ يُحْشَرُ اَعْدَٓاءُ اللّٰهِ اِلَى النَّارِ فَهُمْ يُوزَعُونَ
4238,41,20,"Sonunda oraya geldikleri zaman, işitme (duyu)ları, gözleri ve derileri işledikleri şeylerle ilgili olarak onların aleyhine şahitlik edecektir.[1]",Mehmet Okuyan,حَتّٰٓى اِذَا مَا جَٓاؤُ۫هَا شَهِدَ عَلَيْهِمْ سَمْعُهُمْ وَاَبْصَارُهُمْ وَجُلُودُهُمْ بِمَا كَانُوا يَعْمَلُونَ
4239,41,21,"(Kişiler) derilerine ""Niçin aleyhimize şahitlik ettiniz?"" diyecek, onlar da ""Her şeyi konuşturan Allah bizi de konuşturmuştur. İlk kez sizi de O yaratmıştır. Yalnızca O'na döndürüleceksiniz."" diyeceklerdir.[1]",Mehmet Okuyan,وَقَالُوا لِجُلُودِهِمْ لِمَ شَهِدْتُمْ عَلَيْنَاۜ قَالُٓوا اَنْطَقَنَا اللّٰهُ الَّـذ۪ٓي اَنْطَقَ كُلَّ شَيْءٍ وَهُوَ خَلَقَكُمْ اَوَّلَ مَرَّةٍ وَاِلَيْهِ تُرْجَعُونَ
4240,41,22,"Siz işitme (duyu)nuzun, gözlerinizin ve derilerinizin aleyhinize şahitlik etmesinden sakınmıyordunuz. Ancak yaptıklarınızdan çoğunu Allah'ın bilmeyeceğini sanıyordunuz.",Mehmet Okuyan,وَمَا كُنْتُمْ تَسْتَتِرُونَ اَنْ يَشْهَدَ عَلَيْكُمْ سَمْعُكُمْ وَلَٓا اَبْصَارُكُمْ وَلَا جُلُودُكُمْ وَلٰكِنْ ظَنَنْتُمْ اَنَّ اللّٰهَ لَا يَعْلَمُ كَث۪يراً مِمَّا تَعْمَلُونَ
4241,41,23,"Rabbiniz hakkında beslediğiniz işte bu zan var ya, sizi o mahvetti ve kaybedenlerden oldunuz.",Mehmet Okuyan,وَذٰلِكُمْ ظَنُّكُمُ الَّذ۪ي ظَنَنْتُمْ بِرَبِّكُمْ اَرْدٰيكُمْ فَاَصْبَحْتُمْ مِنَ الْخَاسِر۪ينَ
4242,41,24,Dayanabilirlerse onların yeri ateştir. (Mahşerde Allah'ı) hoşnut etmek isterlerse istekleri asla kabul edilmeyecektir.[1],Mehmet Okuyan,فَاِنْ يَصْبِرُوا فَالنَّارُ مَثْوًى لَهُمْۚ وَاِنْ يَسْتَعْتِبُوا فَمَا هُمْ مِنَ الْمُعْتَب۪ينَ
4243,41,25,"Biz onlara birtakım arkadaşlar sardırmıştık[1] da onlar, önlerinde ve arkalarında ne varsa hepsini bunlara süslü göstermişlerdi. Kendilerinden önce geçen cinler ve insanlardan oluşan ümmetler hakkında (uygulanacak azap) sözü onlar için de gerçekleşmiştir. Şüphesiz ki onlar kaybedenlerdi.",Mehmet Okuyan,وَقَيَّضْنَا لَهُمْ قُرَنَٓاءَ فَزَيَّنُوا لَهُمْ مَا بَيْنَ اَيْد۪يهِمْ وَمَا خَلْفَهُمْ وَحَقَّ عَلَيْهِمُ الْقَوْلُ ف۪ٓي اُمَمٍ قَدْ خَلَتْ مِنْ قَبْلِهِمْ مِنَ الْجِنِّ وَالْاِنْسِۚ اِنَّهُمْ كَانُوا خَاسِر۪ينَ۟
4244,41,26,"Kâfir olanlar, ""Bu Kur'an'ı dinlemeyin; (okunurken) onunla ilgili gürültü yapın! Umulur ki galip gelirsiniz!"" demişlerdi.[1]",Mehmet Okuyan,وَقَالَ الَّذ۪ينَ كَفَرُوا لَا تَسْمَعُوا لِهٰذَا الْقُرْاٰنِ وَالْغَوْا ف۪يهِ لَعَلَّكُمْ تَغْلِبُونَ
4245,41,27,Kâfir olanlara elbette şiddetli bir azabı tattırmaktayız ve elbette onları yaptıklarının en kötüsüyle cezalandıracağız.,Mehmet Okuyan,فَلَنُذ۪يقَنَّ الَّذ۪ينَ كَفَرُوا عَذَاباً شَد۪يداً وَلَنَجْزِيَنَّهُمْ اَسْوَاَ الَّذ۪ي كَانُوا يَعْمَلُونَ
4246,41,28,İşte o Allah düşmanlarının cezası ateştir. Ayetlerimizi inkâr etmelerinin karşılığı olarak orada onlara ebedî kalacakları yurt (cehennem) vardır.,Mehmet Okuyan,ذٰلِكَ جَزَٓاءُ اَعْدَٓاءِ اللّٰهِ النَّارُۚ لَهُمْ ف۪يهَا دَارُ الْخُلْدِۜ جَزَٓاءً بِمَا كَانُوا بِاٰيَاتِنَا يَجْحَدُونَ
4247,41,29,"Kâfir olanlar şöyle diyeceklerdir: ""Rabbimiz! Cinlerden ve insanlardan bizi saptıranları bize göster de aşağılanmışlardan olsunlar diye onları ayaklarımızın altına alalım!""[1]",Mehmet Okuyan,وَقَالَ الَّذ۪ينَ كَفَرُوا رَبَّـنَٓا اَرِنَا الَّذَيْنِ اَضَلَّانَا مِنَ الْجِنِّ وَالْاِنْسِ نَجْعَلْهُمَا تَحْتَ اَقْدَامِنَا لِيَكُونَا مِنَ الْاَسْفَل۪ينَ
4248,41,30,"Şüphesiz ki ""Rabbimiz Allah'tır."" deyip sonra doğru yolda olanlara[1] melekler ""Korkmayın, üzülmeyin, size vadedilen cennetle[2] sevinin!"" (diyerek) inerler.[3]",Mehmet Okuyan,اِنَّ الَّذ۪ينَ قَالُوا رَبُّنَا اللّٰهُ ثُمَّ اسْتَقَامُوا تَـتَنَزَّلُ عَلَيْهِمُ الْمَلٰٓئِكَةُ اَلَّا تَخَافُوا وَلَا تَحْزَنُوا وَاَبْشِرُوا بِالْجَنَّةِ الَّت۪ي كُنْتُمْ تُوعَدُونَ
4249,41,31,"(31, 32) (Melekler şöyle derler): ""Biz dünya hayatında da ahirette de sizin dostlarınızız. Orada, çok bağışlayan, çok merhametli olan (Allah)'tan bir ikram olarak sizin için canlarınızın çektiği her şey vardır ve istediğiniz her şey orada sizin için (hazırlanmış olacak)tır.""[1]",Mehmet Okuyan,نَحْنُ اَوْلِيَٓاؤُ۬كُمْ فِي الْحَيٰوةِ الدُّنْيَا وَفِي الْاٰخِرَةِۚ وَلَكُمْ ف۪يهَا مَا تَشْتَـه۪ٓي اَنْفُسُكُمْ وَلَكُمْ ف۪يهَا مَا تَدَّعُونَۜ
4250,41,32,"(31, 32) (Melekler şöyle derler): ""Biz dünya hayatında da ahirette de sizin dostlarınızız. Orada, çok bağışlayan, çok merhametli olan (Allah)'tan bir ikram olarak sizin için canlarınızın çektiği her şey vardır ve istediğiniz her şey orada sizin için (hazırlanmış olacak)tır.""[1]",Mehmet Okuyan,نُزُلاً مِنْ غَفُورٍ رَح۪يمٍ۟
4251,41,33,"Allah'a davet eden,[1] iyi iş(ler) yapan ve ""Ben müslümanlardanım!"" diyenden daha güzel sözlü kim olabilir ki![2]",Mehmet Okuyan,وَمَنْ اَحْسَنُ قَوْلاً مِمَّنْ دَعَٓا اِلَى اللّٰهِ وَعَمِلَ صَالِحاً وَقَالَ اِنَّن۪ي مِنَ الْمُسْلِم۪ينَ
4252,41,34,İyilikle kötülük bir olmaz. Sen (kötülüğü) en güzel şekilde sav![1] Bir de bakarsın ki seninle arasında düşmanlık bulunan kimse sanki sımsıcak bir dost olur.,Mehmet Okuyan,وَلَا تَسْتَوِي الْحَسَنَةُ وَلَا السَّيِّئَةُۜ اِدْفَعْ بِالَّت۪ي هِيَ اَحْسَنُ فَاِذَا الَّذ۪ي بَيْنَكَ وَبَيْنَهُ عَدَاوَةٌ  كَاَنَّهُ وَلِيٌّ حَم۪يمٌ
4253,41,35,Buna ancak sabredenler kavuşturulur; buna ancak (hayırdan) büyük payı olan kimse kavuşturulur.,Mehmet Okuyan,وَمَا يُلَقّٰيهَٓا اِلَّا الَّذ۪ينَ صَبَرُواۚ وَمَا يُلَقّٰيهَٓا اِلَّا ذُوحَظٍّ عَظ۪يمٍ
4254,41,36,"Sana şeytandan bir kışkırtma gelirse hemen Allah'a sığın! Şüphesiz ki yalnızca O duyandır, bilendir.[1]",Mehmet Okuyan,وَاِمَّا يَنْزَغَنَّكَ مِنَ الشَّيْطَانِ نَزْغٌ فَاسْتَعِذْ بِاللّٰهِۜ اِنَّهُ هُوَ السَّم۪يعُ الْعَل۪يمُ
4255,41,37,"Gece ve gündüz, güneş ve ay O'nun delillerindendir. Güneşe de aya da secde etmeyin! Yalnızca O'na (Allah'a) ibadet ediyorsanız, (bilin ki) onları da yaratan Allah'a secde edin![1]",Mehmet Okuyan,وَمِنْ اٰيَاتِهِ الَّيْلُ وَالنَّهَارُ وَالشَّمْسُ وَالْقَمَرُۜ لَا تَسْجُدُوا لِلشَّمْسِ وَلَا لِلْقَمَرِ وَاسْجُدُوا لِلّٰهِ الَّذ۪ي خَلَقَهُنَّ اِنْ كُنْتُمْ اِيَّاهُ تَعْبُدُونَ
4256,41,38,"İnsanlar kibirlenirlenirse (bilsinler ki) Rabbinin yanında bulunan (melekler), hiç bıkmadan gece gündüz O'nu tesbih ederler (yüceltirler).[1]",Mehmet Okuyan,فَاِنِ اسْتَكْبَرُوا فَالَّذ۪ينَ عِنْدَ رَبِّكَ يُسَبِّحُونَ لَهُ بِالَّيْلِ وَالنَّهَارِ وَهُمْ لَا يَسْـَٔمُونَ
4257,41,39,Yeri boynu bükük (çorak) görmen de O'nun delillerindendir. Biz onun üzerine suyu indirdiğimiz zaman bir de bakarsın ki kıpırdayıp kabarır. Onu (toprağı) dirilten (Allah) elbette ölüleri de diriltendir. Şüphesiz ki O her şeye gücü yetendir.[1],Mehmet Okuyan,وَمِنْ اٰيَاتِه۪ٓ اَنَّكَ تَرَى الْاَرْضَ خَاشِعَةً فَاِذَٓا اَنْزَلْنَا عَلَيْهَا الْمَٓاءَ اهْتَزَّتْ وَرَبَتْۜ اِنَّ الَّـذ۪ٓي اَحْيَاهَا لَمُحْـيِ الْمَوْتٰىۜ اِنَّهُ عَلٰى كُلِّ شَيْءٍ قَد۪يرٌ
4258,41,40,Ayetlerimiz hakkında eğriliğe sapanlar bize gizli kalmazlar. Kıyamet günü ateşin içine atılacak olan mı hayırlıdır; yoksa (huzurumuza) güvenle gelecek olan mı? Dilediğinizi yapın! Şüphesiz ki O yaptıklarınızı görendir.,Mehmet Okuyan,اِنَّ الَّذ۪ينَ يُلْحِدُونَ ف۪ٓي اٰيَاتِنَا لَا يَخْفَوْنَ عَلَيْنَاۜ  اَفَمَنْ يُلْقٰى فِي النَّارِ خَيْرٌ اَمْ مَنْ يَأْت۪ٓي اٰمِناً يَوْمَ الْقِيٰمَةِۜ اِعْمَلُوا مَا شِئْتُمْۙ اِنَّهُ بِمَا تَعْمَلُونَ بَص۪يرٌ
4259,41,41,Şüphesiz ki kendilerine zikr (Kur'an) geldiğinde onu inkâr edenler (kayıptadır). Şüphesiz ki o yüce bir kitaptır.,Mehmet Okuyan,اِنَّ الَّذ۪ينَ كَفَرُوا بِالذِّكْرِ لَمَّا جَٓاءَهُمْۚ وَاِنَّهُ لَكِتَابٌ عَز۪يزٌۙ
4260,41,42,"Ona önünden de arkasından da batıl gelemez.[1] O doğru hüküm veren, övgüye layık olan (Allah)'tan indirilmedir.",Mehmet Okuyan,لَا يَأْت۪يهِ الْبَاطِلُ مِنْ بَيْنِ يَدَيْهِ وَلَا مِنْ خَلْفِه۪ۜ تَنْز۪يلٌ مِنْ حَك۪يمٍ حَم۪يدٍ
4261,41,43,"Sana söylenmekte olan, senden önceki elçilere söylenmiş olandan başka bir şey değildir.[1] Şüphesiz ki senin Rabbin hem bağışlama sahibidir hem de elem verici bir azabın sahibidir.",Mehmet Okuyan,مَا يُقَالُ لَكَ اِلَّا مَا قَدْ ق۪يلَ لِلرُّسُلِ مِنْ قَبْلِكَۜ اِنَّ رَبَّكَ لَذُو مَغْفِرَةٍ وَذُو عِقَابٍ اَل۪يمٍ
4262,41,44,"Biz onu yabancı dilde bir Kur'an yapsaydık ""Ayetleri açıklanmalı değil miydi?[1] Arap'a yabancı dilden (kitap) olur mu?"" derlerdi.[2] De ki: ""O, inananlar için doğru yolu gösteren bir rehber ve şifadır.[3] İnanmayanlara gelince, onların kulaklarında bir (s)ağırlık vardır ve o (Kur'an) onlara kapalıdır.[4](Sanki) onlara uzak bir yerden sesleniliyor!""[5]",Mehmet Okuyan,وَلَوْ جَعَلْنَاهُ قُرْاٰناً اَعْجَمِياًّ لَقَالُوا لَوْلَا فُصِّلَتْ اٰيَاتُهُۜ  ءَاَۭۘعْجَمِيٌّ وَعَرَبِيٌّۜ قُلْ هُوَ لِلَّذ۪ينَ اٰمَنُوا هُدًى وَشِفَٓاءٌۜ وَالَّذ۪ينَ لَا يُؤْمِنُونَ ف۪ٓي اٰذَانِهِمْ وَقْرٌ وَهُوَ عَلَيْهِمْ عَمًىۜ اُو۬لٰٓئِكَ يُنَادَوْنَ مِنْ مَكَانٍ بَع۪يدٍ۟
4263,41,45,Yemin olsun ki biz Musa'ya da Kitabı vermiştik fakat onda anlaşmazlığa düşülmüştü. Rabbinden bir söz geçmemiş olsaydı elbette aralarında (hemen) hüküm verilirdi. Şüphesiz ki onlar (Mekkeliler) de ondan (Kur'an'dan) kuşkulandıran bir şüphe içindedir.[1],Mehmet Okuyan,وَلَقَدْ اٰتَيْنَا مُوسَى الْكِتَابَ فَاخْتُلِفَ ف۪يهِۜ وَلَوْلَا كَلِمَةٌ سَبَقَتْ مِنْ رَبِّكَ لَقُضِيَ بَيْنَهُمْۜ وَاِنَّهُمْ لَف۪ي شَكٍّ مِنْهُ مُر۪يبٍ
4264,41,46,Kim iyi bir iş yaparsa (bu) kendi lehinedir. Kim de kötülük yaparsa kendi aleyhinedir.[1] Rabbin kullara asla haksızlık edici değildir.,Mehmet Okuyan,مَنْ عَمِلَ صَالِحاً فَلِنَفْسِه۪ وَمَنْ اَسَٓاءَ فَعَلَيْهَاۜ وَمَا رَبُّكَ بِظَلَّامٍ لِلْعَب۪يدِ
4265,41,47,"O (Son) Saat'in bilgisi, yalnızca O'na bırakılır (O'na aittir).[1] O'nun bilgisi dışında hiçbir meyve kabuğunu yarıp çıkamaz; hiçbir dişi gebe kalamaz ve doğuramaz. (Allah) onlara (müşriklere) ""Ortaklarım nerede!"" diye seslendiği gün ""(Buna dair) bizden hiçbir şahit olmadığını sana arz ederiz!"" diyeceklerdir.",Mehmet Okuyan,اِلَيْهِ يُرَدُّ عِلْمُ السَّاعَةِۜ وَمَا تَخْرُجُ مِنْ ثَمَرَاتٍ مِنْ اَكْمَامِهَا وَمَا تَحْمِلُ مِنْ اُنْثٰى وَلَا تَضَعُ اِلَّا بِعِلْمِه۪ۜ وَيَوْمَ يُنَاد۪يهِمْ اَيْنَ شُرَكَٓاء۪يۙ قَالُٓوا اٰذَنَّاكَۙ مَا مِنَّا مِنْ شَه۪يدٍۚ
4266,41,48,"(Böylece dünyada) yalvarıp durdukları (şeyler) onlardan uzaklaşmış,[1] kendileri için kaçacak hiçbir yer olmadığını da anlamış (olacak)lardır.[2]",Mehmet Okuyan,وَضَلَّ عَنْهُمْ مَا كَانُوا يَدْعُونَ مِنْ قَبْلُ وَظَنُّوا مَا لَهُمْ مِنْ مَح۪يصٍ
4267,41,49,"İnsan, hayır (mal) istemekten bıkmaz. Kendisine bir kötülük dokunursa hemen üzülüp ümitsizliğe düşer.[1]",Mehmet Okuyan,لَا يَسْـَٔمُ الْاِنْسَانُ مِنْ دُعَٓاءِ الْخَيْرِۘ وَاِنْ مَسَّهُ الشَّرُّ فَيَؤُ۫سٌ قَنُوطٌ
