kelime,arapca_harfler,anlam
tabakât,تﺎﻘﺒﻃ,1.katlar. 2.katmanlar. 3.sınıflar.
tabakâtülarz,ضرﻻا ﺔﻘﺒﻃ,jeoloji.
tabasbus,ﺺﺒﺼﺒﺕ,"yardakçılık, yaltaklanma."
tabâyi’,ﻊیﺎﺒﻃ,"tabiatler, huylar."
tabbâh,خﺎﺒﻃ,aşçı.
tabbâl,لﺎﺒﻃ,davulcu.
tabh,ﺦﺒﻃ,pişirme.
tâbi,ﻊﺑﺎﺕ,"1.uyan, tabi olan. 2.boyun eğen."
tâbi’,ﻊﺑﺎﻃ,kitap basan.
tabiat,ﺖﻌﻴﺒﻃ,"1.doğa. 2.huy, yaratılış."
tabib,ﺐﻴﺒﻃ,doktor.
tabîî,ﯽﻌﻴﺒﻃ,1.doğal. 2.doğal olarak.
tabîiyyât,تﺎﻴﻌﻴﺒﻃ,doğa bilimleri.
tâbiiyyet,ﺖﻴﻌﺑﺎﺕ,uyruk.
tabîiyyûn,نﻮﻴﻌﻴﺒﻃ,natüralistler.
tabir,ﺮﻴﺒﻌﺕ,1.yorumlama. 2.terim.
tâbirat,تاﺮﻴﺒﻌﺕ,1.yorumlar. 2.terimler. 3.deyişler.
tabl,ﻞﺒﻃ,davul.
tâbut,تﻮﺑﺎﺕ,tabut.
tâc,جﺎﺕ,1.taç. 2.sorguç.
tacir,ﺮﺝﺎﺕ,"tüccar, ticaret yapan."
taciz,ﺰﻴﺠﻌﺕ,rahatsız etme.
tadâd,داﺪﻌﺕ,1.sayı. 2.sayma.
tafazzul,ﻞﻀﻔﺕ,bilgiçlik taslama.
tafra,ﻩﺮﻔﻃ,atıp tutma.
tafsil,ﻞﻴﺼﻔﺕ,ayrıntılı açıklama.
tafsilât,تﻼﻴﺼﻔﺕ,1.ayrıntılı açıklama. 2.ayrıntı.
tafsîlen,ﻼﻴﺼﻔﺕ,ayrıntılı olarak.
tagaddî,یﺪﻐﺕ,beslenme.
tagallüb,ﺐﻠﻐﺕ,zorbalık.
tagannî,ﯽﻨﻐﺕ,1.zenginlik. 2.makamına göre şarkı söyleme.
tagayyür,ﺮﻴﻐﺕ,"değişme, başkalaşma."
tagazzî,یﺬﻐﺕ,beslenme.
tağdiye,ﻪیﺬﻐﺕ,besleme.
tâğî,ﯽﻏﺎﻃ,isyancı.
tağlik,ﻖﻴﻠﻐﺕ,1.kilit vurma. 2.kapama.
tağlît,ﻂﻴﻠﻐﺕ,yanıltma.
tâğun,نﻮﻏﺎﻃ,azılılar.
tâğût,تﻮﻏﺎﻃ,1.büyücü. 2.şeytan.
tağyîr,ﺮﻴﻴﻐﺕ,"değiştirme, başkalaştırma."
tağyîrât,تاﺮﻴﻴﻐﺕ,değişiklikler.
tağziye,ﻪیﺬﻐﺕ,1.besleme. 2.beslenme.
tahaccür,ﺮﺠﺤﺕ,taşlaşma.
tahaddüb,بﺪﺤﺕ,tümsekleşme.
tahaddüs,سﺪﺤﺕ,1.sezgi. 2.meydana gelme.
tahaddüsiyye,ﻪﻴﺱﺪﺤﺕ,sezgicilik.
tahakkuk,ﻖﻘﺤﺕ,gerçekleşme.
tahakküm,ﻢﮑﺤﺕ,"hükmetme, hükmü altında tutma."
tahallüs,ﺺﻠﺨﺕ,1.kurtulma. 2.şiirde mahlas kullanma.
tahammül,ﻞﻤﺤﺕ,"dayanma, katlanma."
tahammür,ﺮﻤﺨﺕ,mayalaşma.
tahâret,ترﺎﻬﻃ,1.temizlik. 2.temizlenme.
taharrî,یﺮﺤﺕ,1.arama. 2.araştırma.
taharriyât,تﺎیﺮﺤﺕ,araştırmalar.
tahassür,ﺮﺴﺤﺕ,1.özlem duyma. 2.üzülme.
tahassüs,ﺲﺴﺤﺕ,"duygulanma, hislenme."
tahaşşî,ﯽﺸﺨﺕ,ürperme.
tahattî,ﯽﻄﺨﺕ,"haddini bilmeme, sınırı geçme, çizgiyi geçme."
tahattur,ﺮﻄﺨﺕ,"anımsama, hatırlama."
tahavvül,لﻮﺤﺕ,değişim.
tahavvülât,تﻻﻮﺤﺕ,değişimler.
tahayyül,ﻞﻴﺨﺕ,hayal etme.
tahayyülât,تﻼﻴﺨﺕ,"hayal etmeler, hayale dalışlar."
tahayyülî,ﯽﻠﻴﺨﺕ,hayalî.
tahayyür,ﺮﻴﺤﺕ,hayranlık.
tahcîr,ﺮﻴﺠﺤﺕ,çit çekme.
tahdîd,ﺪیﺪﺤﺕ,sınırlandırma.
tahdîdât,تاﺪیﺪﺤﺕ,"sınırlandırmalar, kısıtlamalar."
tahfîf,ﻒﻴﻔﺨﺕ,hafifletme.
tâhir,ﺮهﺎﻃ,temiz.
tahkik,ﻖﻴﻘﺤﺕ,"araştırma, gerçeği arama."
tahkîkat,تﺎﻘﻴﻘﺤﺕ,araştırmalar.
tahkim,ﻢﻴﮑﺤﺕ,sağlamlaştırma.
tahkîmât,تﺎﻤﻴﮑﺤﺕ,1.sağlamlaştırmalar. 2.sağlamlaştırılmış yer.
tahkîr,ﺮﻴﻘﺤﺕ,"küçümseme, aşağılama."
tahlîf,ﻒﻴﻠﺤﺕ,1.and içirme. 2.and içme.
tahlîl,ﻞﻴﻠﺤﺕ,"ayrıştırma, çözümleme, analiz."
tahlîlât,تﻼﻴﻠﺤﺕ,"analizler, tahliller."
tahlîs,ﺺﻴﻠﺨﺕ,kurtarma.
tahlit,ﻂﻴﻠﺨﺕ,karıştırma.
tahliye,ﻪﻴﻠﺨﺕ,1.boşaltma. 2.salıverme.
tahmîl,ﻞﻴﻤﺤﺕ,1.yükleme. 2.sorumluluk verme.
tahmînen,ﺎﻨﻴﻤﺨﺕ,"tahminle, aşağı yukarı."
tahmînî,ﯽﻨﻴﻤﺨﺕ,tahmin edilen.
tahmîr,ﺮﻴﻤﺨﺕ,1.mayalandırma. 2.yoğurma.
tahmis,ﺲﻴﻤﺨﺕ,1.beşleme. 2.beş dizeye çıkarma.
tahnit,ﻂﻴﻨﺤﺕ,ilaçlama.
tahrib,ﺐیﺮﺨﺕ,"yıkma, harap etme."
tahrîbât,تﺎﺒیﺮﺨﺕ,"yıkmalar, yıkımlar."
tahrîf,ﻒیﺮﺤﺕ,"üstünde kalem oynatarak bozma, asıl anlamını bozma."
tahrîfat,تﺎﻔیﺮﺤﺕ,anlamından uzaklaştıracak şekilde üstünde kalem
tahrîk,ﮏیﺮﺤﺕ,"1.hareket ettirme, oynatma. 2.kışkırtma."
tahrim,ﻢیﺮﺤﺕ,1.yasaklama. 2.yasaklanma.
tahrir,ﺮیﺮﺤﺕ,1.yazma. 2.yazılma. 3.kitap yazma. 4.serbest bırakma.
tahrîrî,یﺮیﺮﺤﺕ,yazılı.
tahris,ﺺیﺮﺤﺕ,hırslandırma.
tahriş,ﺶیﺮﺨﺕ,"tırmalama, kazıma."
tahsil,ﻞﻴﺼﺤﺕ,1.elde etme. 2.öğrenim.
tahsîlat,تﻼﻴﺼﺤﺕ,para ve vergi toplama.
tahsin,ﻦﻴﺴﺤﺕ,"beğenme, güzel bulma, takdir etme."
tahsis,ﺺﻴﺼﺨﺕ,"özgü kılma, ayırma."
tahsisat,تﺎﺼﻴﺼﺨﺕ,ödenek.
tahşiye,ﻪﻴﺸﺤﺕ,haşiye yazma.
taht,ﺖﺤﺕ,"alt, aşağı."
tahtânî,ﯽﻥﺎﺘﺤﺕ,alttaki.
tahtelarz,ضرﻻا ﺖﺤﺕ,yeraltı.
tahtelbahir,ﺮﺤﺒﻝا ﺖﺤﺕ,denizaltı.
tahteşşuur,رﻮﻌﺸﻝا ﺖﺤﺕ,bilinçaltı.
tahtıe,ﻪﺌﻄﺨﺕ,hata bulma.
tahtüşşuûr,رﻮﻌﺸﻝا ﺖﺤﺕ,bilinçaltı.
tahvil,ﻞیﻮﺤﺕ,1.değiştirme. 2.borç senedi.
tahvîlât,تﻼیﻮﺤﺕ,"tahviller, borç senetleri."
tahzîr,ﺮیﺬﺤﺕ,sakındırma.
tâib,ﺐﺋﺎﺕ,"tövbekâr, tövbe eden."
tâife,ﻪﻔﺋﺎﻃ,1.zümre. 2.tayfa. 3.kavim.
tâir,ﺮﺋﺎﻃ,kuş.
tâk,قﺎﻃ,kemer.
takabbül,ﻞﺒﻘﺕ,1.kabul etme. 2.benimseyiş.
takaddüm,مﺪﻘﺕ,1.öncelik. 2.öne geçme.
takallüs,ﺺﻠﻘﺕ,kasılma.
takarrüb,بﺮﻘﺕ,"yaklaşma, yakınlaşma."
takarrür,رﺮﻘﺕ,1.karar kılma. 2.yerleşme.
tâkat,ﺖﻗﺎﻃ,dayanma gücü.
takattur,ﺮﻄﻘﺕ,damlama.
takâvim,ﻢیوﺎﻘﺕ,takvimler.
takayyüd,ﺪﻴﻘﺕ,1.bağlanma. 2.özen gösterme.
takbîh,ﺢﻴﺒﻘﺕ,"ayıplama, çirkin görme."
takdim,ﻢیﺪﻘﺕ,"1.sunma, sunuş. 2.öne alma."
takdime,ﻪﻡﺪﻘﺕ,1.sunuş. 2.armağan.
takdir,ﺮیﺪﻘﺕ,1.değerlendirme. 2.beğenme. 3.Tanrı’nın isteği.
takdîren,اﺮیﺪﻘﺕ,takdir ederek.
takdîs,ﺲیﺪﻘﺕ,"kutsama, ululama."
takıyye,ﻪﻴﻘﺕ,1.gizleme. 2.sakınma.
tâkıyye,ﻪﻴﻗﺎﻃ,takke.
takiben,ﺎﺒﻴﻘﻌﺕ,"takip ederek, izleyerek."
taklîd,ﺪﻴﻠﻘﺕ,"1.taklit, öykünme. 2.sahte."
taklîden,اﺪﻴﻠﻘﺕ,"öykünerek, taklit ederek."
taklîl,ﻞﻴﻠﻘﺕ,"1.azaltma, kısma. 2.azaltılma, kısılma."
takrîb,ﺐیﺮﻘﺕ,yaklaştırma.
takrîben,ﺎﺒیﺮﻘﺕ,yaklaşık olarak.
takrîbî,ﯽﺒیﺮﻘﺕ,yaklaşık olarak.
takrîr,ﺮیﺮﻘﺕ,1.yerleştirme. 2.anlatma. 3.önerge. 4.sağlama.
takrîren,اﺮیﺮﻘﺕ,anlatarak.
takrîz,ﻆیﺮﻘﺕ,eleştiri.
takrîz,ﺾیﺮﻘﺕ,1.borç verme. 2.kitaba beğeni yazısı yazma.
taksîm,ﻢﻴﺴﻘﺕ,1.bölme. 2.bölüm. 3.bölü.
taksimat,تﺎﻤﻴﺴﻘﺕ,"bölümlendirme, bölme."
taksîr,ﺮﻴﺼﻘﺕ,1.kısaltma. 2.kusur.
taksîrât,تاﺮﻴﺼﻘﺕ,kusurlar.
taksît,ﻂﻴﺴﻘﺕ,"borç parçası, taksit."
taktî’,ﻊﻴﻄﻘﺕ,1.kesme. 2.şiiri veznine göre parçalara ayırma.
taktîr,ﺮﻴﻄﻘﺕ,damıtma.
takvâ,اﻮﻘﺕ,haramdan kaçınma.
takviye,ﻪیﻮﻘﺕ,kuvvetlendirme.
takviyet,ﺖیﻮﻘﺕ,kuvvetlendirme.
tal’at,ﺖﻌﻠﻃ,1.yüz. 2.güzellik.
talâk,قﻼﻃ,1.boşama. 2.boşanma.
taleb,ﺐﻠﻃ,1.isteme. 2.istek.
talebe,ﻪﺒﻠﻃ,1.öğrenci. 2.istekliler.
tâlî,ﯽﻝﺎﺕ,ikincil.
tâli’,ﻊﻝﺎﻃ,1.doğan. 2.talih.
talîa,ﻪﻌﻴﻠﻃ,öncü.
tâlib,ﺐﻝﺎﻃ,istekli.
taltif,ﻒﻴﻄﻠﺕ,1.ödüllendirme. 2.gönlünü alma.
tama’,ﻊﻤﻃ,"tamah, açgözlülük."
tamâm,مﺎﻤﺕ,"1.tam. 2.bitiş, sona erme. 3.bütün."
tamâmen,ﺎﻡﺎﻤﺕ,tümüyle.
ta'mîm,ﻢﻴﻤﻌﺕ,"1.genelleştirme, yayma. 2.genelleştirilme, yayılma."
tâmm,مﺎﺕ,"tam, eksiksiz."
tâmme,ﻪﻡﺎﺕ,"tam, eksiksiz."
tanbûr,رﻮﺒﻨﻃ,tambur.
tanbûrî,یرﻮﺒﻨﻃ,tanbur virtüözü.
tanîn,ﻦﻴﻨﻃ,"tınlama, tını."
tannâz,زﺎﻨﻃ,"alaya alan, eğlenen."
tantana,ﻪﻨﻄﻨﻃ,gürültü patırtı ile gösteriş yapma.
tanz,ﺰﻨﻃ,"alaya alma, eğlenme."
tanzîf,ﻒﻴﻈﻨﺕ,temizleme.
tanzîfât,تﺎﻔﻴﻈﻨﺕ,temizlik işleri.
tanzîm,ﻢﻴﻈﻨﺕ,"düzenleme, tertipleme."
tanzîr,ﺮﻴﻈﻨﺕ,1.benzetme. 2.nazire yazma.
tarab,بﺮﻃ,"şenlik, neşelenme."
taraf,فﺮﻃ,1.yön. 2.ülke. 3.muhatap iki kişiden her biri. 4.yer.
tarafeyn,ﻦﻴﻓﺮﻃ,iki taraf.
tarafgîr,ﺮﻴﮕﻓﺮﻃ,"yan tutan, yandaş."
tarassud,ﺪﺹﺮﺕ,gözleme.
tarâvet,تواﺮﻃ,tazelik.
tard,دﺮﻃ,1.kovma. 2.görevden uzaklaştırma.
tarf,فﺮﻃ,akış.
tarfe,ﻪﻓﺮﻃ,göz açıp kapayış.
tarfetülayn,ﻦﻴﻌﻝا ﺔﻓﺮﻃ,"göz açıp kapayıncaya dek, bir anda."
tarh,حﺮﻃ,1.atma. 2.düzenleme. 3.desen. 4.plan.
târık,قرﺎﻃ,"Çulpan, Zühre, Venüs."
tarîk,ﻖیﺮﻃ,1.yol. 2.yöntem. 3.meslek. 4.tarikat.
tarrâr,راﺮﻃ,yankesici.
tarz,زﺮﻃ,"1.şekil, biçim. 2.yöntem."
tasaddî,یﺪﺼﺕ,"girişme, başlama, el atma."
tasallut,ﻂﻠﺴﺕ,musallat olma.
tasannu,ﻊﻨﺼﺕ,yapmacık.
tasarruf,فﺮﺼﺕ,1.tutum. 2.elinde bulundurma. 3.para arttırma.
tasâvîr,ﺮیوﺎﺼﺕ,resimler.
tasavvufî,ﯽﻓﻮﺼﺕ,tasavvuf ile ilgili.
tasavvur,رﻮﺼﺕ,zihinde kurma.
tasavvurât,تارﻮﺼﺕ,tasavvurlar.
tasdî’,ﻊیﺪﺼﺕ,"baş ağrıtma, rahatsız etme."
tasdîk,ﻖیﺪﺼﺕ,"onay, doğrulama."
tasfiye,ﻪﻴﻔﺼﺕ,1.arıtma. 2.temizleme.
tasgîr,ﺮﻴﻐﺼﺕ,küçültme.
tashîf,ﻒﻴﺤﺼﺕ,kelimeyi yanlış yazma.
tashih,ﺢﻴﺤﺼﺕ,düzelti.
tâsi’,ﻊﺱﺎﺕ,dokuzuncu.
tâsi’an,ﺎﻌﺱﺎﺕ,dokuzuncusu.
tasmîm,ﻢﻴﻤﺼﺕ,kesin karar.
tasmîmât,تﺎﻤﻴﻤﺼﺕ,kesin kararlar.
tasnî’,ﻊﻴﻨﺼﺕ,1.yapma. 2.uydurma.
tasnîf,ﻒﻴﻨﺼﺕ,sınıflandırma.
tasrîf,ﻒیﺮﺼﺕ,fiil çekimi.
tasrîh,ﺢیﺮﺼﺕ,açıkça belirtme.
tasrîhen,ﺎﺤیﺮﺼﺕ,açıkça bildirerek.
tasvib,ﺐیﻮﺼﺕ,uygun görme.
tasvîr,ﺮیﻮﺼﺕ,1.resmetme. 2.resim. 3.niteleme.
tatbîk,ﻖﻴﺒﻄﺕ,uygulama.
tatbîkan,ﺎﻘﻴﺒﻄﺕ,uygulayarak.
tatbîkat,تﺎﻘﻴﺒﻄﺕ,1.uygulamalar. 2.tatbikat.
tatbîkî,ﯽﻘﻴﺒﻄﺕ,uygulamalı.
tathîr,ﺮﻴﻬﻄﺕ,temizleme.
tathîrat,تاﺮﻴﻬﻄﺕ,temizlik.
tatlîk,ﻖﻴﻠﻄﺕ,boşama.
tatmin,ﻦﻴﻤﻄﺕ,1.doyurma. 2.doyma.
tatvîl,ﻞیﻮﻄﺕ,uzatma.
tâûn,نﻮﻋﺎﻃ,veba.
tav’,عﻮﻃ,"boyun eğme, itaat."
tav’an,ﺎﻋﻮﻃ,isteyerek.
tav’î,ﯽﻋﻮﻃ,kendiliğinden.
tavâf,فاﻮﻃ,etrafında dönme.
tavâif,ﻒﺋاﻮﻃ,1.zümreler. 2.tayfalar. 3.kavimler.
tavassut,ﻂﺱﻮﺕ,aracılık.
tavattun,ﻦﻃﻮﺕ,"yerleşme, yurt tutma."
tavîl,ﻞیﻮﻃ,1.uzun. 2.uzun süreli.
tavk,قﻮﻃ,"1.kolye, gerdanlık. 2.tasma."
tavr,رﻮﻃ,tavır.
tavsîf,ﻒﻴﺹﻮﺕ,"vasıflandırma, niteleme."
tavsiye,ﻪﻴﺹﻮﺕ,1.vasiyet etme. 2.ısmarlama. 3.öğüt verme.
tâvus,سوﺎﻃ,tavus kuşu.
tavzîf,ﻒﻴﻇﻮﺕ,görevlendirme.
tavzîh,ﺢﻴﺽﻮﺕ,açıklama.
tavzîhat,تﺎﺤﻴﺽﻮﺕ,açıklamalar.
taylasan,نﺎﺴﻠﻴﻃ,sarığın sarkan ucu.
tayr,ﺮﻴﻃ,kuş.
tayy,ﯽﻃ,"1.geçip gitme. 2.katlama, dürme. 3.silme. 4.yok etme."
tayyâr,رﺎﻴﻃ,uçucu.
tayyâre,ﻩرﺎﻴﻃ,uçak.
tayyib,ﺐﻴﻃ,"güzel, hoş."
tayyibe,ﻪﺒﻴﻃ,iyi davranış.
taz’îf,ﻒﻴﻌﻀﺕ,1.zayıf düşürme. 2.iki kat yapma.
tazallüm,ﻢﻠﻈﺕ,"sızlanma, yakınma."
tazammun,ﻦﻤﻀﺕ,1.içinde bulundurma. 2.kefil olma.
tazarru’,عﺮﻀﺕ,yalvarıp yakarma.
tazarru’ât,تﺎﻋﺮﻀﺕ,yalvarıp yakarmalar.
tazarrur,رﺮﻀﺕ,"zarar görme, zarar etme."
tazmîn,ﻦﻴﻤﻀﺕ,"1.zarar ödeme, tazminat verme, zarar karşılama. 2.bir"
tazmînât,تﺎﻨﻴﻤﻀﺕ,"zarar ödemeleri, tazminat."
tazyîk,ﻖﻴﻴﻀﺕ,"1.sıkıştırma, daraltma. 2.basınç yapma, bastırma. 3.basınç."
tehâsum,ﻢﺹﺎﺨﺕ,birbirine düşmanlık gütme.
te’cîl,ﻞﻴﺝﺄﺕ,"geciktirme, erteleme."
te’dîb,ﺐیدﺄﺕ,"1.eğitme, terbiye etme. 2.cezalandırma."
te’diyât,تﺎیدﺄﺕ,ödemeler.
te’diye,ﻪیدﺄﺕ,ödeme.
te’hîr,ﺮﻴﺧﺄﺕ,1.geciktirme. 2.gecikme.
te’kîd,ﺪﻴﮐﺄﺕ,"pekiştirme, sağlamlaştırma."
te’lîf,ﻒﻴﻝﺄﺕ,"1.yanyana getirme, alıştırma. 2.kaleme alma, yazma."
te’lîfât,تﺎﻔﻴﻝﺄﺕ,kaleme alınmış eserler.
te’nîs,ﺲﻴﻥﺄﺕ,alıştırma.
te’sîr,ﺮﻴﺛﺄﺕ,1.iz bırakma. 2.etkileme. 3.etki.
te’sîrât,تاﺮﻴﺛﺄﺕ,etkiler.
te’sîs,ﺲﻴﺱﺄﺕ,1.kurma. 2.temel atma. 3.kuruluş.
te’sîsât,تﺎﺴﻴﺱﺄﺕ,1.kuruluşlar. 2.düzenek.
te’vîl,ﻞیوﺄﺕ,başka bir yorum getirme.
te’yîd,ﺪﻴیﺄﺕ,pekiştirme.
teâdül,لدﺎﻌﺕ,denklik.
teâkub,ﺐﻗﺎﻌﺕ,birbirini izleme.
teâlî,ﯽﻝﺎﻌﺕ,yükselme.
teâmül,ﻞﻡﺎﻌﺕ,1.alışılagelmiş uygulama. 2.iş. 3.tepkime.
teâmülât,تﻼﻡﺎﻌﺕ,alışılagelmiş uygulamalar.
tearrî,یﺮﻌﺕ,1.arınma. 2.çıplaklaşma.
teâruz,ضرﺎﻌﺕ,"karşılıklı zıtlık, çelişme."
teârüf,فرﺎﻌﺕ,1.birbirini bilme. 2.herkesçe bilinme.
teâtî,ﯽﻃﺎﻌﺕ,birbirine verme.
teâvün,نوﺎﻌﺕ,yardımlaşma.
teb’îd,ﺪﻴﻌﺒﺕ,1.uzaklaştırma. 2.sürgün etme.
tebaa,ﻪﻌﺒﺕ,"uyruk, teba."
tebahhur,ﺮﺨﺒﺕ,buharlanma.
tebahhur,ﺮﺤﺒﺕ,"1.göllenme. 2.derin bilgi sahibi olma, uzmanlaşma."
tebahtur,ﺮﺘﺨﺒﺕ,kibirlenerek yürüme.
tebaiyyet,ﺖﻴﻌﺒﺕ,uyrukluk.
tebaiyyeten,ﺔﻴﻌﺒﺕ,uyarak.
tebâüd,ﺪﻋﺎﺒﺕ,uzaklaşma.
tebâyün,ﻦیﺎﺒﺕ,"zıtlık, aykırılık."
tebcîl,ﻞﻴﺠﺒﺕ,ululama.
tebdîl,ﻞیﺪﺒﺕ,"değiştirme, dönüştürme, değişiklik."
tebdîlen,ﻼیﺪﺒﺕ,"1.değiştirerek, dönüştürerek. 2.değiştirilerek,"
tebe’a,ﻪﻌﺒﺕ,"tebalar, uyruklar."
tebe’an,ﺎﻌﺒﺕ,uyarak.
tebeddül,لﺪﺒﺕ,değişim.
tebeddülât,تﻻﺪﺒﺕ,"değişimler, değişiklikler."
tebellüğ,ﻎﻠﺒﺕ,alma.
teberrâ,اﺮﺒﺕ,uzak durma.
teberru,عﺮﺒﺕ,bağış.
teberruan,ﺎﻋﺮﺒﺕ,bağışlayarak.
teberruât,تﺎﻋﺮﺒﺕ,bağışlar.
teberrüd,دﺮﺒﺕ,soğuma.
teberrük,کﺮﺒﺕ,"mübarek görme, kutlu sayma."
teberrüken,ﺎﮐﺮﺒﺕ,"mübarek görerek,uğur sayarak."
tebessüm,ﻢﺴﺒﺕ,gülümseme.
tebettül,ﻞﺘﺒﺕ,köşesine çekilme.
tebevvül,لﻮﺒﺕ,"idrar yapma, işeme."
tebeyyün,ﻦﻴﺒﺕ,"ortaya çıkma, anlaşılma."
tebhâl,لﺎﺨﺒﺕ,uçuk.
tebhîr,ﺮﻴﺨﺒﺕ,buharlaştırma.
teblîğ,ﻎﻴﻠﺒﺕ,1.bildiri. 2.yetiştirme.
teblîğât,تﺎﻐﻴﻠﺒﺕ,bildiriler.
tebrîd,ﺪیﺮﺒﺕ,soğutma.
tebrie,ﻪﺋﺮﺒﺕ,"arındırma, temize çıkarma."
tebrîk,ﮏیﺮﺒﺕ,kutlama.
tebrîkât,تﺎﮑیﺮﺒﺕ,kutlamalar.
tebşîr,ﺮﻴﺸﺒﺕ,müjdeleme.
tecâhül,ﻞهﺎﺠﺕ,bilmezlikten gelme.
tecârib,برﺎﺠﺕ,"tecrübeler, denemeler."
tecâsür,ﺮﺱﺎﺠﺕ,yüreklenme.
tecâvüz,زوﺎﺠﺕ,"1.haddini aşma, sınırı geçme. 2.sarkıntılık etme."
tecdîd,ﺪیﺪﺠﺕ,1.yenileme. 2.yenilenme.
teceddüd,دﺪﺠﺕ,"yenilenme, yenilik."
teceddüdât,تادﺪﺠﺕ,"yenilenmeler, yenilikler."
tecellî,ﯽﻠﺠﺕ,"1.görünme, ortaya çıkma. 2.kader."
tecemmu,ﻊﻤﺠﺕ,"toplanma, bir araya gelme."
tecemmül,ﻞﻤﺠﺕ,süslenme.
tecennün,ﻦﻨﺠﺕ,cinnet geçirme.
tecerru’,عﺮﺠﺕ,yudumlama.
tecerrüd,دﺮﺠﺕ,1.bekarlık. 2.çıplaklık. 3.soyutlanma.
tecessüm,ﻢﺴﺠﺕ,"cisimleşme, şekillenme."
tecessüs,ﺲﺴﺠﺕ,1.araştırma. 2.merak.
tecevvüf,فﻮﺠﺕ,kofluk.
tecezzî,یﺰﺠﺕ,"bölünme, parçalanma, ayrışma."
techîl,ﻞﻴﻬﺠﺕ,bilgisizliğini çıkarma.
techîz,ﺰﻴﻬﺠﺕ,donatım.
techîzât,تاﺰﻴﻬﺠﺕ,donatım.
tecnîs,ﺲﻴﻨﺠﺕ,"cinas yapma, iki anlamlı söz kullanma."
tecribe,ﻪﺑﺮﺠﺕ,"1.deneme, sınama. 2.deneyim."
tecribî,ﯽﺑﺮﺠﺕ,"deneysel, tecrübî."
tecrîd,ﺪیﺮﺠﺕ,soyutlama.
tecrîden,اﺪیﺮﺠﺕ,soyutlayarak.
tecrübe,ﻪﺑﺮﺠﺕ,"1.deneme, sınama. 2.deneyim."
tecvîd,ﺪیﻮﺠﺕ,Kur’ân’ı usûlüne göre okuma.
tecvîz,ﺰیﻮﺠﺕ,1.uygun görme. 2.izin verme.
teczie,ﻪﺋﺰﺠﺕ,"parçalara ayırma, bölme."
teczîr,ﺮیﺬﺠﺕ,karekök alma.
tecziye,ﻪیﺰﺠﺕ,cezalandırma.
tedâbir,ﺮﻴﺑاﺪﺕ,"çareler, tedbirler."
tedâfü,ﻊﻓاﺪﺕ,savunma.
tedâfüî,ﯽﻌﻓاﺪﺕ,savunma ile ilgili.
tedâhül,ﻞﺧاﺪﺕ,1.karışma. 2.yığılışma.
tedâî,ﯽﻋاﺪﺕ,çağrışım.
tedarikât,تﺎﮐراﺪﺕ,hazırlıklar.
tedârukât,تﺎﮐراﺪﺕ,hazırlıklar.
tedârük,کراﺪﺕ,"hazırlama, temin etme."
tedâvül,لواﺪﺕ,dolaşım.
tedbîr,ﺮﻴﺑﺪﺕ,"çare, önlem."
tedbîrülmenzil,لﺰﻨﻤﻝاﺮﻴﺑﺪﺕ,ekonomi.
tedennî,ﯽﻥﺪﺕ,"gerileme, alçalma, düşüş."
tederrüs,سرﺪﺕ,ders alma.
tedfîn,ﻦﻴﻓﺪﺕ,gömme.
tedhîn,ﻦﻴﺧﺪﺕ,1.dumanlama. 2.tütsüleme.
tedhîn,ﻦﻴهﺪﺕ,yağ sürme.
tedhîş,ﺶﻴهﺪﺕ,"dehşet salma, dehşete düşürme."
tedkîk,ﻖﻴﻗﺪﺕ,"inceleme, tetkik."
tedkîkât,تﺎﻘﻴﻗﺪﺕ,"incelemeler, tetkikler."
tedrîcen,ﺎﺠیرﺪﺕ,"gitgide, adım adım, yavaş yavaş."
tedrîcî,ﯽﺠیرﺪﺕ,"yavaş yavaş, azar azar, gittikçe."
tedrîs,ﺲیرﺪﺕ,ders verme.
tedrîsât,تﺎﺴیرﺪﺕ,öğretim.
tedvîr,ﺮیوﺪﺕ,1.döndürme. 2.idare etme.
teeddüb,بدﺄﺕ,"utanma, terbiye ile çekinme."
teeddüben,ﺎﺑدﺄﺕ,"terbiye ile çekinerek, utanarak."
teehhül,ﻞهﺄﺕ,1.evlenme. 2.evcilleşme.
teehhür,ﺮﺧﺄﺕ,gecikme.
teemmül,ﻞﻡﺄﺕ,enikonu düşünme.
teennî,ﯽﻥﺄﺕ,"1.yavaşlama, duraksama. 2.dikkat gösterme."
teessüf,ﻒﺱﺄﺕ,"üzülme, hayıflanma."
teessür,ﺮﺛﺄﺕ,"1.üzülme, üzüntü. 2.etkilenme."
teessüs,ﺲﺱﺄﺕ,kurulma.
tefahhur,ﺮﺨﻔﺕ,"şişinme, övünme."
tefahhus,ﺺﺤﻔﺕ,derinlemesine araştırma.
tefâhür,ﺮﺧﺎﻔﺕ,övünme.
tefakkud,ﺪﻘﻔﺕ,arkasını arayıp sorma.
tefâsîl,ﻞﻴﺹﺎﻔﺕ,ayrıntılar.
tefâsîr,ﺮﻴﺱﺎﻔﺕ,"tefsirler, yorumlar."
tefâvüt,توﺎﻔﺕ,farklılık.
tefavvuk,قﻮﻔﺕ,üstünlük.
tefazzul,ﻞﻀﻔﺕ,üstünlük taslama.
tefe’ül,لﺄﻔﺕ,"1.fal açma. 2.hayra yorma, uğur sayma."
tefehhüm,ﻢﻬﻔﺕ,anlama.
tefekkür,ﺮﮑﻔﺕ,"düşünme, kafa yorma."
